drug1,drug2,target1,target2,d1t1,d2t2,d1t2,d2t1,low1,high1,low2,high2,difference
D312.0,D3702.0,TP00915,TP43166,2.221848742378115,9.481486060122112,2.735182153387503,4.284831805361439,2.0629830629833243,6.506680547739554,6.7463039067346084,12.216668213509616,0.23962335899505405
D681.0,D70681491.0,TP31645,TQ01959,2.95860727536046,1.999999995657055,7.173277479831008,1.999999995657055,0.9586072797034049,4.958607271017515,5.173277484173953,9.173277475488064,0.2146702131564382
D681.0,D70683608.0,TP31645,TQ01959,2.95860727536046,1.999999995657055,7.173277479831008,1.999999995657055,0.9586072797034049,4.958607271017515,5.173277484173953,9.173277475488064,0.2146702131564382
D946.0,D3702.0,TP00915,TP43166,2.075720708767946,9.481486060122112,2.74957997329254,4.284831805361439,2.2091110965934933,6.3605525141293855,6.7319060868295715,12.231066033414653,0.371353572700186
D1615.0,D29981513.0,TP23975,TP31645,4.999995657076895,1.999999995657055,9.080921907623926,1.999999995657055,2.99999566141984,6.999995652733951,7.080921911966871,11.08092190328098,0.0809262592329203
D1615.0,D70681491.0,TP23975,TP31645,4.999995657076895,1.999999995657055,9.080921907623926,1.999999995657055,2.99999566141984,6.999995652733951,7.080921911966871,11.08092190328098,0.0809262592329203
D1615.0,D70681491.0,TP31645,TQ01959,9.080921907623926,1.999999995657055,4.999995657076895,1.999999995657055,7.080921911966871,11.08092190328098,2.99999566141984,6.999995652733951,0.0809262592329203
D1615.0,D70683608.0,TP23975,TP31645,4.999995657076895,1.999999995657055,9.080921907623926,1.999999995657055,2.99999566141984,6.999995652733951,7.080921911966871,11.08092190328098,0.0809262592329203
D1615.0,D70683608.0,TP31645,TQ01959,9.080921907623926,1.999999995657055,4.999995657076895,1.999999995657055,7.080921911966871,11.08092190328098,2.99999566141984,6.999995652733951,0.0809262592329203
D1727.0,D10342843.0,TP00734,TP00747,2.6989699826212954,3.128427006081211,2.6989699826212954,8.67778070526608,5.978810722644785,11.376750687887377,0.42945702345991554,5.827396988702507,0.1514137339422783
