drug1,drug2,target1,target2,d1t1,d2t2,d1t2,d2t1,low1,high1,low2,high2,difference
DCHEMBL103055,DCHEMBL373751,TP49841,TP00533,13.844727495,1.1,10.1,1.3,12.544727495,15.144727495000001,9.0,11.2,1.3447274950000008
DCHEMBL1076721,DCHEMBL373751,TP53350,TP49841,11.497940009,1.3,14.798970004,0.0,11.497940009,11.497940009,13.498970003999998,16.098970003999998,2.001029994999998
DCHEMBL1082152,DCHEMBL373751,TP49840,TP53350,14.923908740999998,0.0,10.738272164,1.3,13.623908740999997,16.223908741,10.738272164,10.738272164,2.885636576999998
DCHEMBL1082152,DCHEMBL373751,TP49841,TP53350,16.518217880999998,0.0,10.738272164,1.3,15.218217880999998,17.818217881,10.738272164,10.738272164,4.479945716999998
DCHEMBL1086736,DCHEMBL373751,TP53350,TP49841,11.497940009,1.3,14.446787486,0.0,11.497940009,11.497940009,13.146787486,15.746787486,1.6488474769999986
DCHEMBL1090356,DCHEMBL373751,TP53350,TP04626,11.400000202,1.1,12.911549081,0.0,11.400000202,11.400000202,11.811549081,14.011549081,0.4115488790000015
DCHEMBL1090356,DCHEMBL373751,TP53350,TP00533,11.400000202,1.1,13.600038134000002,0.0,11.400000202,11.400000202,12.500038134000002,14.700038134000001,1.1000379320000029
DCHEMBL1090360,DCHEMBL373751,TP53350,TP04626,12.11610018,1.1,13.816269724,0.0,12.11610018,12.11610018,12.716269724,14.916269724,0.6001695439999999
DCHEMBL1090360,DCHEMBL373751,TP53350,TP00533,12.11610018,1.1,13.986582248,0.0,12.11610018,12.11610018,12.886582248,15.086582248,0.7704820679999997
DCHEMBL1094408,DCHEMBL373751,TP49841,TP53350,11.1,0.0,14.25490196,1.3,9.799999999999999,12.4,14.25490196,14.25490196,1.8549019599999994
