drug1,drug2,target1,target2,d1t1,d2t2,d1t2,d2t1,low1,high1,low2,high2,difference
D264.0,D5311.0,TB2RXH2,TP56524,1.999999995657055,9.832682665251824,2.6989699826212954,4.853868862229398,2.853868866572343,6.853868857886454,7.133712682630528,12.53165264787312,0.27984382474407443
D264.0,D91895926.0,TB2RXH2,TQ9UBN7,1.999999995657055,9.30102999566398,2.6989699826212954,4.552840417608829,2.5528404219517737,6.552840413265884,6.602060013042684,11.999999978285274,0.04921959977679968
D3121.0,D5311.0,TO95342,TP56524,2.999999956570554,9.832682665251824,2.6989699826212954,3.876148032495832,0.8761480759252778,6.876147989066386,7.133712682630528,12.53165264787312,0.25756469356414247
D3152.0,D439246.0,TP21397,TP22303,2.999999956570554,2.689306666419746,9.657577319177792,3.019996582940394,0.0199966263698399,6.019996539510949,6.968270652758045,12.346883985597538,0.9482741132470967
D4380.0,D439246.0,TP21397,TP22303,9.979224511806445,2.689306666419746,3.3010299088050936,3.019996582940394,6.959227928866051,12.999221094746838,0.6117232423853478,5.990336575224839,0.9688913536412116
D5578.0,D126941.0,TQ9UM07,TP00378,2.124938730817707,7.718966632752273,3.136677080387153,1.999999995657055,0.1249387351606519,4.124938726474762,4.58228955236512,10.855643713139425,0.4573508258903578
D9513.0,D46946082.0,TP27338,TP21397,3.1183300352964936,8.55284196865778,3.120731985827645,2.136677133930305,0.9816529013661888,5.255007169226799,5.432109982830136,11.673573954485425,0.17710281360333724
D9513.0,D91930003.0,TP27338,TP21397,3.1183300352964936,8.537602002101044,3.120731985827645,2.075720708767946,1.0426093265285474,5.194050744064439,5.4168700162734,11.658333987928689,0.22281927220896058
D10494.0,D46830252.0,TP29350,TP18031,4.848014543986137,1.999999995657055,9.022276394711152,1.999999995657055,2.8480145483290817,6.848014539643192,7.022276399054097,11.022276390368207,0.17426185941090466
D10494.0,D56589511.0,TP29350,TP18031,4.848014543986137,1.999999995657055,9.022276394711152,1.999999995657055,2.8480145483290817,6.848014539643192,7.022276399054097,11.022276390368207,0.17426185941090466
